1,1,801A,811A,811A_L,811A_L,811A_L,802A
2,,,,811A_R,811A_R,,807A
3,,,,811A_sL,,,
4,2,802A,810A,810A_L,810A_L,810A_L,802A
5,,,,810A_R,810A_R,,807A
6,,,,810A_sL,,,
7,3,803A,815A,815A_L,815A_L,815A_R,801A
8,,,,815A_R,815A_R,,803A
9,,,,,,,804A
10,,,,,,,805A
11,,,,,,,806A
12,4,804A,814A,814A_L,814A_L,814A_R,801A
13,,,,814A_R,814A_R,,803A
14,,,,,,,804A
15,,,,,,,805A
16,,,,,,,806A
17,5,805A,815A,815A_L,815A_L,815A_R,801A
18,,,,815A_R,815A_R,,803A
19,,,,,,,804A
20,,,,,,,805A
21,,,,,,,806A
22,6,806A,814A,814A_L,814A_L,814A_R,801A
23,,,,814A_R,814A_R,,803A
24,,,,,,,804A
25,,,,,,,805A
26,,,,,,,806A
