1,1,801B,811B,811B_L,811B_L,Nil,802B
2,,,,811B_R,811B_R,,803B
3,,,,811B_sL,,,804B
4,,,,,,,809B
5,,,,,,,810B
6,2,802B,810B,810B_L,810B_L,Nil,802B
7,,,,810B_R,810B_R,,803B
8,,,,810B_sL,,,804B
9,,,,,,,809B
10,,,,,,,810B
11,3,803B,813B,813B_L,813B_L,813B_L,802B
12,,,,813B_R,813B_R,,803B
13,,,,813B_sL,,,804B
14,,,,,,,809B
15,,,,,,,810B
16,4,804B,812B,812B_L,812B_L,812B_L,802B
17,,,,812B_R,812B_R,,803B
18,,,,812B_sL,,,804B
19,,,,,,,809B
20,,,,,,,810B
21,5,805B,811B,811B_L,811B_L,Nil,802B
22,,,,811B_R,811B_R,,803B
23,,,,811B_sL,,,804B
24,,,,,,,809B
25,,,,,,,810B
26,6,806B,829B,829B_L,829B_L,Nil,802B
27,,,,829B_R,829B_R,,803B
28,,,,829B_sL,,,804B
29,,,,,,,809B
30,,,,,,,810B
31,7,807B,829B,829B_L,829B_L,829B_L,Nil
32,,,,829B_R,829B_R,,
33,,,,829B_sL,,,
34,8,809B,817B,817B_L,817B_L,817B_R,801B
35,,,,817B_R,817B_R,,805B
36,,,,817B_sR,,,806B
37,,,,,,,807B
38,,,,,,,808B
39,9,810B,816B,816B_L,816B_L,816B_R,801B
40,,,,816B_R,816B_R,,805B
41,,,,816B_sR,,,806B
42,,,,,,,807B
43,,,,,,,808B
44,10,811B,819B,819B_L,819B_L,Nil,801B
45,,,,819B_R,819B_R,,805B
46,,,,819B_sR,,,806B
47,,,,,,,807B
48,,,,,,,808B
49,11,812B,818B,818B_L,818B_L,Nil,801B
50,,,,818B_R,818B_R,,805B
51,,,,818B_sR,,,806B
52,,,,,,,807B
53,,,,,,,808B
54,12,813B,833B,833B_L,833B_L,833B_R,Nil
55,,,,833B_R,833B_R,,
56,,,,833B_sR,,,
57,13,815B,819B,819B_L,819B_L,Nil,801B
58,,,,819B_R,819B_R,,805B
59,,,,819B_sR,,,806B
60,,,,,,,807B
61,,,,,,,808B
62,14,816B,833B,833B_L,833B_L,Nil,801B
63,,,,833B_R,833B_R,,805B
64,,,,833B_sR,,,806B
65,,,,,,,807B
66,,,,,,,808B
67,15,817B,819B,819B_L,819B_L,Nil,801B
68,,,,819B_R,819B_R,,805B
69,,,,819B_sR,,,806B
70,,,,,,,808B
