1,1,1,S821B,G,S821B_S801B,Nil,Nil,Nil,Nil,805B,S821B_S801B,805B_R,Nil,Nil,Nil,Nil,Nil,809B_R,S804B_S806C,805B_R,809B,S821B,No,Nil,
2,,,,,,,,,,807B,,807B_R,,,,,,,S804B_VS822B,807B_R,,,,,
3,,,,,,,,,,809B,,,,,,,,,S810B_S806C,809B_R,,,,,
4,,,,,,,,,,,,,,,,,,,S810B_VS822B,805B_L,,,,,
5,,,,,,,,,,,,,,,,,,,S816B_S806C,807B_L,,,,,
6,,,,,,,,,,,,,,,,,,,S816B_VS822B,809B_L,,,,,
7,2,1,S801B,G,S801B_S803B,801B,Nil,801B,801B,809B,S801B_S803B,809B_R,801B,817B_R,817B_sR,809B,Nil,Nil,S802B_S810B,809B_R,Nil,S801B,No,Nil,
8,,,,,,802B,,802B,802B,811B,,811B_R,,,,810B,,,S806B_S810B,811B_R,,,,,
9,,,,,,805B,,805B,805B,813B,,813B_R,,,,,,,S810B_S806C,813B_R,,,,,
10,,,,,,806B,,806B,806B,815B,,815B_R,,,,,,,S810B_VS822B,815B_R,,,,,
11,,,,,,803B,,803B,803B,817B,,,,,,,,,S810B_VS804B,817B_R,,,,,
12,,,,,,804B,,804B,804B,,,,,,,,,,S808B_S810B,809B_L,,,,,
13,,,,,,,,809B,809B,,,,,,,,,,,811B_L,,,,,
14,,,,,,,,810B,810B,,,,,,,,,,,813B_L,,,,,
15,,,,,,,,,,,,,,,,,,,,815B_L,,,,,
16,,,,,,,,,,,,,,,,,,,,817B_L,,,,,
17,,3,,G,S801B_S807B,801B,803B,801B,801B,809B,S801B_S807B,809B_R,803B,816B_R,816B_sR,809B,Nil,Nil,S802B_S804B,809B_R,Nil,S801B,No,Nil,
18,,,,,,802B,804B,802B,802B,811B,,811B_R,,,,810B,,,S804B_S806C,811B_R,,,,,
19,,,,,,805B,,805B,805B,813B,,813B_R,805B,816B_R,816B_sR,Nil,809B,,S804B_VS822B,813B_R,,,,,
20,,,,,,806B,,806B,806B,812B,,812B_R,,817B_R,817B_sR,,810B,,S804B_VS804B,812B_R,,,,,
21,,,,,,,,803B,803B,814B,,814B_R,,,,,,,S806B_S804B,814B_R,,,,,
22,,,,,,,,804B,804B,816B,,,,,,,,,S808B_S804B,816B_R,,,,,
23,,,,,,,,809B,809B,,,,,,,,,,,809B_L,,,,,
24,,,,,,,,810B,810B,,,,,,,,,,,811B_L,,,,,
25,,,,,,,,,,,,,,,,,,,,813B_L,,,,,
26,,,,,,,,,,,,,,,,,,,,812B_L,,,,,
27,,,,,,,,,,,,,,,,,,,,814B_L,,,,,
28,,,,,,,,,,,,,,,,,,,,816B_L,,,,,
29,,5,,G,S801B_S811B,801B,805B,801B,801B,809B,S801B_S811B,809B_R,807B,833B_R,833B_sR,813B,Nil,Nil,S802B_S816B,809B_R,Nil,S801B,No,831H,
30,,,,,,802B,806B,802B,802B,811B,,811B_R,,,,,,,S806B_S816B,811B_R,,,,,
31,,,,,,807B,,805B,805B,829B,,829B_R,,,,,,,S808B_S816B,829B_R,,,,,
